Date,Tester,Genre,Trial,WPM,Accuracy %
March 18th,Jhattu,Upbeat,1,60,95%
March 18th,Jhattu,Upbeat,2,71,96%
March 18th,Jhattu,Upbeat,3,64,95%
March 19th,Jhattu,Silence,1,61,96%
March 19th,Jhattu,Silence,2,69,95%
March 19th,Jhattu,Silence,3,67,95%
March 20th,Jhattu,White noise,1,65,95%
March 20th,Jhattu,White noise,2,65,94%
March 20th,Jhattu,White noise,3,69,96%
March 21st,Jhattu,Lofi,1,62,94%
March 21st,Jhattu,Lofi,2,64,94%
March 21st,Jhattu,Lofi,3,70,96%
March 22nd,Jhattu,White noise,1,64,94%
March 22nd,Jhattu,White noise,2,61,94%
March 22nd,Jhattu,White noise,3,68,95%
March 23rd,Jhattu,Silence,1,64,96%
March 23rd,Jhattu,Silence,2,63,96%
March 23rd,Jhattu,Silence,3,72,94%
March 24th,Jhattu,Lofi,1,65,93%
March 24th,Jhattu,Lofi,2,67,95%
March 24th,Jhattu,Lofi,3,68,96%
March 25th,Jhattu,Upbeat,1,64,94%
March 25th,Jhattu,Upbeat,2,62,97%
March 25th,Jhattu,Upbeat,3,64,94%
