Date,Tester,Music,Trial,WPM,Accuracy
March 18th,Zoya,Lo-Fi,1,68,95%
March 18th,Zoya,Lo-Fi,2,72,96%
March 18th,Zoya,Lo-Fi,3,70,95%
March 19th,Zoya,Silence,1,71,96%
March 19th,Zoya,Silence,2,68,95%
March 19th,Zoya,Silence,3,73,97%
March 20th,Zoya,White Noise,1,65,94%
March 20th,Zoya,White Noise,2,67,95%
March 20th,Zoya,White Noise,3,63,94%
March 21st,Zoya,Upbeat,1,62,93%
March 21st,Zoya,Upbeat,2,65,95%
March 21st,Zoya,Upbeat,3,60,94%
March 23rd,Zoya,White Noise,1,66,95%
March 23rd,Zoya,White Noise,2,64,94%
March 23rd,Zoya,White Noise,3,68,96%
March 24th,Zoya,Upbeat,1,63,94%
March 24th,Zoya,Upbeat,2,67,96%
March 24th,Zoya,Upbeat,3,61,93%
March 26th,Zoya,Lo-Fi,1,70,96%
March 26th,Zoya,Lo-Fi,2,67,95%
March 26th,Zoya,Lo-Fi,3,72,97%
March 28th,Zoya,Silence,1,69,95%
March 28th,Zoya,Silence,2,74,97%
March 28th,Zoya,Silence,3,71,96%
